properties.Name,properties.Country,properties.high_temp,properties.in_europe
Gijón,Spain,17.72,yes
Alicante,Spain,17.31,yes
Murcia,Spain,17.08,yes
Valencia,Spain,17.06,yes
Málaga,Spain,16.91,yes
Pau,France,16.81,yes
Santander,Spain,16.42,yes
Cartagena,Spain,16.12,yes
Cádiz,Spain,16.06,yes
Tarragona,Spain,15.95,yes
Palma,Spain,15.82,yes
Granada,Spain,15.6,yes
Ibiza,Spain,15.56,yes
Mahon,Spain,15.31,yes
Bilbao,Spain,15.29,yes
Lisbon,Portugal,15.29,yes
Faro,Portugal,15.26,yes
Almería,Spain,15.23,yes
Seville,Spain,15.15,yes
Lampedusa,Italy,15.02,yes
A Coruña,Spain,15.0,yes
Le Mans,France,14.94,yes
Barcelona,Spain,14.86,yes
San Sebastián,Spain,14.78,yes
Rhodes,Greece,14.49,yes
Bordeaux,France,14.37,yes
Valletta,Malta,14.26,yes
Huelva,Spain,14.18,yes
Córdoba,Spain,14.14,yes
Pantelleria,Italy,14.1,yes
Girona,Spain,14.1,yes
Bastia,France,13.89,yes
Gibraltar,Gibraltar,13.89,yes
Ajaccio,France,13.87,yes
Vigo,Spain,13.84,yes
Cagliari,Italy,13.81,yes
Karpathos,Greece,13.79,yes
Jaén,Spain,13.78,yes
Porto,Portugal,13.73,yes
Toulon,France,13.72,yes
Teruel,Spain,13.67,yes
Leiria,Portugal,13.47,yes
Bourges,France,13.23,yes
Olbia,Italy,13.23,yes
Marseille,France,13.22,yes
Coimbra,Portugal,13.13,yes
Nice,France,13.06,yes
Catania,Italy,12.73,yes
Palermo,Italy,12.7,yes
Beja,Portugal,12.66,yes
Angers,France,12.65,yes
Nantes,France,12.64,yes
Tours,France,12.59,yes
Rennes,France,12.57,yes
Huesca,Spain,12.38,yes
Albacete,Spain,12.35,yes
Penzance,United Kingdom,12.33,yes
Lorient,France,12.29,yes
Rouen,France,12.25,yes
Lugo,Spain,12.23,yes
Zaragoza,Spain,12.19,yes
Cambridge,United Kingdom,12.11,yes
Cáceres,Spain,12.1,yes
Chania,Greece,12.01,yes
Badajoz,Spain,11.98,yes
Cherbourg-en-Cotentin,France,11.86,yes
Heraklion,Greece,11.85,yes
Genoa,Italy,11.84,yes
Ancona,Italy,11.83,yes
Sassari,Italy,11.81,yes
Valladolid,Spain,11.79,yes
Toledo,Spain,11.78,yes
Brest,France,11.77,yes
La Rochelle,France,11.68,yes
Le Havre,France,11.51,yes
Plymouth,United Kingdom,11.51,yes
St Peter Port,Guernsey,11.5,yes
Lleida,Spain,11.42,yes
Oxford,United Kingdom,11.41,yes
Bristol,United Kingdom,11.37,yes
Calais,France,11.32,yes
London,United Kingdom,11.22,yes
Amiens,France,11.21,yes
Ciudad Real,Spain,11.03,yes
Cuenca,Spain,11.01,yes
Reims,France,11.0,yes
Dublin,Ireland,11.0,yes
Cardiff,United Kingdom,10.99,yes
Troyes,France,10.99,yes
Poitiers,France,10.98,yes
Grosseto,Italy,10.94,yes
Limoges,France,10.89,yes
Agrigento,Italy,10.87,yes
Perpignan,France,10.85,yes
Kos,Greece,10.82,yes
Southampton,United Kingdom,10.79,yes
St Helier,Jersey,10.71,yes
Norwich,United Kingdom,10.68,yes
Paris,France,10.66,yes
Waterford,Ireland,10.63,yes
Leicester,United Kingdom,10.56,yes
Orléans,France,10.55,yes
Messina,Italy,10.52,yes
Grenoble,France,10.47,yes
Canterbury,United Kingdom,10.47,yes
Andorra la Vella,Andorra,10.45,yes
Nottingham,United Kingdom,10.4,yes
Valence,France,10.32,yes
Leeds,United Kingdom,10.2,yes
Ipswich,United Kingdom,10.18,yes
Ragusa,Italy,10.17,yes
Pescara,Italy,10.16,yes
Toulouse,France,10.15,yes
Rome,Italy,10.13,yes
Naples,Italy,10.11,yes
Kalamata,Greece,10.08,yes
Limerick,Ireland,10.06,yes
Foggia,Italy,10.02,yes
Holyhead,United Kingdom,10.0,yes
Cork,Ireland,9.99,yes
Lille,France,9.99,yes
Hull,United Kingdom,9.97,yes
