properties.Name,properties.Country,properties.high_temp,properties.in_europe
Belfast,United Kingdom,9.93,yes
Brighton,United Kingdom,9.9,yes
Galway,Ireland,9.9,yes
Middlesbrough,United Kingdom,9.89,yes
Swansea,United Kingdom,9.89,yes
Derry,United Kingdom,9.88,yes
Douglas,Isle of Man,9.88,yes
Sochi,Russia,9.84,yes
Avignon,France,9.84,yes
Ostend,Belgium,9.83,yes
Edinburgh,United Kingdom,9.8,yes
Naxos,Greece,9.79,yes
Antwerp,Belgium,9.78,yes
Bragança,Portugal,9.77,yes
Birmingham,United Kingdom,9.77,yes
Newcastle upon Tyne,United Kingdom,9.74,yes
Clermont-Ferrand,France,9.74,yes
Kirkwall,United Kingdom,9.67,yes
Liverpool,United Kingdom,9.66,yes
Manchester,United Kingdom,9.65,yes
Lyon,France,9.54,yes
Pamplona,Spain,9.53,yes
Charleroi,Belgium,9.47,yes
Ghent,Belgium,9.47,yes
Sheffield,United Kingdom,9.44,yes
Brussels,Belgium,9.4,yes
Aberystwyth,United Kingdom,9.34,yes
Dundee,United Kingdom,9.33,yes
Rotterdam,Netherlands,9.32,yes
Patras,Greece,9.29,yes
Utrecht,Netherlands,9.27,yes
Pula,Croatia,9.27,yes
Salamanca,Spain,9.25,yes
Aberdeen,United Kingdom,9.25,yes
Carlisle,United Kingdom,9.22,yes
Stoke-on-Trent,United Kingdom,9.21,yes
Logroño,Spain,9.2,yes
Inverness,United Kingdom,9.19,yes
Burgos,Spain,9.17,yes
Eindhoven,Netherlands,9.12,yes
Madrid,Spain,9.08,yes
Split,Croatia,9.02,yes
Glasgow,United Kingdom,8.97,yes
Corfu,Greece,8.97,yes
Montpellier,France,8.94,yes
Argostoli,Greece,8.94,yes
Crotone,Italy,8.93,yes
Stuttgart,Germany,8.9,yes
Lerwick,United Kingdom,8.85,yes
Nijmegen,Netherlands,8.84,yes
Stornoway,United Kingdom,8.82,yes
Sligo,Ireland,8.75,yes
Amsterdam,Netherlands,8.7,yes
León,Spain,8.64,yes
Taranto,Italy,8.63,yes
Düsseldorf,Germany,8.57,yes
Bari,Italy,8.49,yes
Liège,Belgium,8.43,yes
Zadar,Croatia,8.43,yes
Cologne,Germany,8.4,yes
Chios,Greece,8.29,yes
Hanover,Germany,8.21,yes
Karlsruhe,Germany,8.21,yes
Geneva,Switzerland,8.21,yes
Koblenz,Germany,8.19,yes
Turin,Italy,8.19,yes
Ulm,Germany,8.15,yes
Zwolle,Netherlands,8.15,yes
Strasbourg,France,8.12,yes
Freiburg im Breisgau,Germany,8.07,yes
Leeuwarden,Netherlands,8.04,yes
Rodez,France,8.0,yes
Livorno,Italy,8.0,yes
Fort William,United Kingdom,7.95,yes
Nancy,France,7.95,yes
Florence,Italy,7.94,yes
Lecce,Italy,7.94,yes
Trieste,Italy,7.93,yes
Sion,Switzerland,7.88,yes
Friedrichshafen,Germany,7.85,yes
Saarbrücken,Germany,7.84,yes
Vaduz,Liechtenstein,7.83,yes
Lausanne,Switzerland,7.69,yes
Dortmund,Germany,7.61,yes
Enschede,Netherlands,7.59,yes
Würzburg,Germany,7.58,yes
Rijeka,Croatia,7.51,yes
Lucerne,Switzerland,7.48,yes
Metz,France,7.42,yes
Milan,Italy,7.28,yes
Tórshavn,Faroe Islands,7.26,yes
Lugano,Switzerland,7.24,yes
Innsbruck,Austria,7.23,yes
Bern,Switzerland,7.2,yes
Münster,Germany,7.18,yes
Augsburg,Germany,7.11,yes
Basel,Switzerland,7.05,yes
Kassel,Germany,7.03,yes
Mannheim,Germany,6.93,yes
Mostar,Bosnia and Herzegovina,6.9,yes
Bielefeld,Germany,6.83,yes
Zurich,Switzerland,6.8,yes
Frankfurt,Germany,6.77,yes
Munich,Germany,6.75,yes
Segovia,Spain,6.75,yes
Vladikavkaz,Russia,6.73,yes
Dubrovnik,Croatia,6.71,yes
Athens,Greece,6.7,yes
La Spezia,Italy,6.68,yes
Mytilene,Greece,6.65,yes
Dijon,France,6.54,yes
Salzburg,Austria,6.41,yes
Bologna,Italy,6.4,yes
Groningen,Netherlands,6.31,yes
Trento,Italy,6.29,yes
Udine,Italy,6.28,yes
Cuneo,Italy,6.27,yes
Brescia,Italy,6.25,yes
Karlovy Vary,Czech Republic,6.2,yes
Nuremberg,Germany,6.19,yes
Venice,Italy,6.17,yes
Guarda,Portugal,6.14,yes
Luxembourg,Luxembourg,6.12,yes
Vlorë,Albania,6.05,yes
Verona,Italy,6.02,yes
Fulda,Germany,6.01,yes
Ålesund,Norway,5.99,yes
Erfurt,Germany,5.97,yes
L'Aquila,Italy,5.95,yes
Plzeň,Czech Republic,5.92,yes
Podgorica,Montenegro,5.88,yes
Myrina,Greece,5.87,yes
Grozny,Russia,5.81,yes
Bremen,Germany,5.74,yes
Chalkida,Greece,5.72,yes
Leipzig,Germany,5.71,yes
Lamia,Greece,5.63,yes
Florø,Norway,5.6,yes
Bolzano,Italy,5.58,yes
Egilsstaðir,Iceland,5.53,yes
Coburg,Germany,5.48,yes
Aosta,Italy,5.33,yes
Bergen,Norway,5.27,yes
Parma,Italy,5.11,yes
Regensburg,Germany,5.09,yes
Potenza,Italy,5.03,yes
Hamburg,Germany,4.97,yes
Magdeburg,Germany,4.89,yes
Nalchik,Russia,4.8,yes
Passau,Germany,4.79,yes
Volgodonsk,Russia,4.73,yes
Cosenza,Italy,4.68,yes
Chemnitz,Germany,4.64,yes
San Marino,San Marino,4.52,yes
Tirana,Albania,4.49,yes
České Budějovice,Czech Republic,4.47,yes
Perugia,Italy,4.39,yes
Akureyri,Iceland,4.34,yes
Wilhelmshaven,Germany,4.33,yes
Campobasso,Italy,4.23,yes
Larissa,Greece,4.22,yes
Ioannina,Greece,4.07,yes
Novorossyisk,Russia,4.05,yes
Komotini,Greece,3.89,yes
Maykop,Russia,3.86,yes
Astrakhan,Russia,3.76,yes
Thessaloniki,Greece,3.74,yes
Kristiansund,Norway,3.64,yes
Elista,Russia,3.47,yes
Krasnodar,Russia,3.41,yes
Dresden,Germany,3.36,yes
Lienz,Austria,3.33,yes
Linz,Austria,3.31,yes
Istanbul,Turkey,3.26,yes
Stavropol,Russia,3.11,yes
Cherkessk,Russia,3.01,yes
Skopje,North Macedonia,2.89,yes
Stavanger,Norway,2.61,yes
Lübeck,Germany,2.43,yes
Kiel,Germany,2.16,yes
Rostock,Germany,2.1,yes
Plovdiv,Bulgaria,2.08,yes
Cottbus,Germany,1.91,yes
Rostov-on-Don,Russia,1.87,yes
Bihać,Bosnia and Herzegovina,1.84,yes
Borisoglebsk,Russia,1.77,yes
Strumica,North Macedonia,1.71,yes
Berlin,Germany,1.7,yes
Sevastopol,Ukraine,1.59,yes
Tekirdağ,Turkey,1.56,yes
Rørvik,Norway,1.53,yes
Volgograd,Russia,1.22,yes
Kaluga,Russia,1.14,yes
Ljubljana,Slovenia,1.07,yes
Pardubice,Czech Republic,0.97,yes
Tambov,Russia,0.92,yes
Iași,Romania,0.84,yes
Edirne,Turkey,0.78,yes
Penza,Russia,0.59,yes
Burgas,Bulgaria,0.56,yes
Bacău,Romania,0.55,yes
Kamyshin,Russia,0.47,yes
St. Pölten,Austria,0.43,yes
Kerch,Ukraine,0.41,yes
Voronezh,Russia,0.4,yes
Zagreb,Croatia,0.37,yes
Flensburg,Germany,0.3,yes
Lipetsk,Russia,0.27,yes
Prague,Czech Republic,0.25,yes
Vestmannaeyjabær,Iceland,0.21,yes
Liberec,Czech Republic,0.2,yes
Trondheim,Norway,0.17,yes
Ploiești,Romania,0.08,yes
Esbjerg,Denmark,0.02,yes
Tuzla,Bosnia and Herzegovina,0.01,yes
Rønne,Denmark,0.0,yes
Odesa,Ukraine,-0.03,yes
Niš,Serbia,-0.03,yes
Kristiansand,Norway,-0.04,yes
Jihlava,Czech Republic,-0.06,yes
Liezen,Austria,-0.06,yes
Chișinău,Moldova,-0.09,yes
Saransk,Russia,-0.22,yes
Bodø,Norway,-0.22,yes
Gdańsk,Poland,-0.23,yes
Neubrandenburg,Germany,-0.24,yes
Vidin,Bulgaria,-0.26,yes
Arzamas,Russia,-0.26,yes
Copenhagen,Denmark,-0.3,yes
Tiraspol,Moldova,-0.41,yes
Banja Luka,Bosnia and Herzegovina,-0.49,yes
Călărași,Romania,-0.57,yes
Tula,Russia,-0.61,yes
Aarhus,Denmark,-0.62,yes
Ryazan,Russia,-0.63,yes
Varna,Bulgaria,-0.65,yes
Moscow,Russia,-0.65,yes
Bălți,Moldova,-0.69,yes
Graz,Austria,-0.78,yes
Warsaw,Poland,-0.79,yes
Stara Zagora,Bulgaria,-0.88,yes
Miskolc,Hungary,-0.88,yes
Suceava,Romania,-0.9,yes
Gorzów Wielkopolski,Poland,-0.97,yes
Opole,Poland,-0.98,yes
Aalborg,Denmark,-0.99,yes
Ohrid,North Macedonia,-0.99,yes
Maribor,Slovenia,-1.04,yes
Herning,Denmark,-1.06,yes
Reykjavík,Iceland,-1.07,yes
Vienna,Austria,-1.12,yes
Odense,Denmark,-1.14,yes
Belgrade,Serbia,-1.14,yes
Zenica,Bosnia and Herzegovina,-1.21,yes
Focșani,Romania,-1.25,yes
Nizhny Novgorod,Russia,-1.3,yes
Simferopol,Ukraine,-1.35,yes
Saratov,Russia,-1.37,yes
Chernivtsi,Ukraine,-1.4,yes
Klagenfurt,Austria,-1.43,yes
Olomouc,Czech Republic,-1.5,yes
Bratislava,Slovakia,-1.51,yes
Sankt Moritz,Switzerland,-1.51,yes
Kozani,Greece,-1.53,yes
Craiova,Romania,-1.55,yes
Ostrava,Czech Republic,-1.57,yes
Galați,Romania,-1.61,yes
Wrocław,Poland,-1.67,yes
Mariupol,Ukraine,-1.68,yes
Pécs,Hungary,-1.7,yes
Novi Sad,Serbia,-1.83,yes
Pleven,Bulgaria,-2.0,yes
Visby,Sweden,-2.01,yes
Kragujevac,Serbia,-2.04,yes
Brno,Czech Republic,-2.07,yes
Mykolaiv,Ukraine,-2.08,yes
Bydgoszcz,Poland,-2.1,yes
Kherson,Ukraine,-2.15,yes
Karlskrona,Sweden,-2.16,yes
Budapest,Hungary,-2.2,yes
Pristina,Kosovo,-2.22,yes
Zalaegerszeg,Hungary,-2.34,yes
Sofia,Bulgaria,-2.36,yes
Västerås,Sweden,-2.37,yes
Ísafjörður,Iceland,-2.4,yes
Melitopol,Ukraine,-2.45,yes
Poznań,Poland,-2.5,yes
Zielona Góra,Poland,-2.51,yes
Ruse,Bulgaria,-2.52,yes
Constanța,Romania,-2.55,yes
Koszalin,Poland,-2.55,yes
Veszprém,Hungary,-2.58,yes
Szczecin,Poland,-2.59,yes
Kazan,Russia,-2.6,yes
Nitra,Slovakia,-2.61,yes
Cheboksary,Russia,-2.63,yes
Osijek,Croatia,-2.64,yes
Tallinn,Estonia,-2.66,yes
Kalmar,Sweden,-2.66,yes
Győr,Hungary,-2.72,yes
Sarajevo,Bosnia and Herzegovina,-2.86,yes
Sundsvall,Sweden,-2.87,yes
Katowice,Poland,-2.91,yes
Târgu Jiu,Romania,-2.91,yes
Ostrołęka,Poland,-2.92,yes
Trenčín,Slovakia,-2.96,yes
Kecskemét,Hungary,-3.0,yes
Płock,Poland,-3.01,yes
Syzran,Russia,-3.03,yes
Novi Pazar,Serbia,-3.15,yes
Luhansk,Ukraine,-3.26,yes
Ulyanovsk,Russia,-3.29,yes
Pervomaisk,Ukraine,-3.32,yes
Rzeszów,Poland,-3.34,yes
Košice,Slovakia,-3.34,yes
Olsztyn,Poland,-3.35,yes
Žilina,Slovakia,-3.36,yes
Bucharest,Romania,-3.43,yes
Mariehamn,Finland,-3.45,yes
Vladimir,Russia,-3.45,yes
Radom,Poland,-3.49,yes
Kalisz,Poland,-3.52,yes
Satu Mare,Romania,-3.59,yes
Szeged,Hungary,-3.63,yes
Stockholm,Sweden,-3.65,yes
Kaliningrad,Russia,-3.71,yes
Gävle,Sweden,-3.71,yes
Kryvyi Rih,Ukraine,-3.76,yes
Częstochowa,Poland,-3.82,yes
Kraków,Poland,-3.83,yes
Samara,Russia,-3.86,yes
Halmstad,Sweden,-3.87,yes
Užice,Serbia,-3.92,yes
Pitești,Romania,-4.03,yes
Ventspils,Latvia,-4.04,yes
Brașov,Romania,-4.15,yes
Łódź,Poland,-4.15,yes
Tromsø,Norway,-4.22,yes
Narvik,Norway,-4.27,yes
Donetsk,Ukraine,-4.28,yes
Ivano-Frankivsk,Ukraine,-4.32,yes
Banská Bystrica,Slovakia,-4.39,yes
Lublin,Poland,-4.41,yes
Sibiu,Romania,-4.51,yes
Naberezhnye Chelny,Russia,-4.54,yes
Kielce,Poland,-4.73,yes
Lviv,Ukraine,-4.87,yes
Rossosh,Russia,-4.88,yes
Klaipėda,Lithuania,-4.99,yes
Karlstad,Sweden,-5.0,yes
Kropyvnytskyi,Ukraine,-5.02,yes
Liepāja,Latvia,-5.05,yes
Uzhhorod,Ukraine,-5.07,yes
Jönköping,Sweden,-5.18,yes
Timișoara,Romania,-5.21,yes
Cluj-Napoca,Romania,-5.26,yes
Bistrița,Romania,-5.3,yes
Kursk,Russia,-5.31,yes
Gothenburg,Sweden,-5.32,yes
Miercurea Ciuc,Romania,-5.35,yes
Zaporizhzhia,Ukraine,-5.36,yes
Oral,Kazakhstan,-5.39,yes
Dnipro,Ukraine,-5.42,yes
Vyazma,Russia,-5.46,yes
Kuressaare,Estonia,-5.6,yes
Ternopil,Ukraine,-5.83,yes
Vinnytsia,Ukraine,-5.89,yes
Örebro,Sweden,-5.9,yes
Uppsala,Sweden,-5.95,yes
Lappeenranta,Finland,-5.98,yes
Oradea,Romania,-6.02,yes
Khmelnytskyi,Ukraine,-6.04,yes
Minsk,Belarus,-6.04,yes
Kramatorsk,Ukraine,-6.12,yes
Ufa,Russia,-6.25,yes
Linköping,Sweden,-6.31,yes
Brest,Belarus,-6.39,yes
Kotka,Finland,-6.41,yes
Belomorsk,Russia,-6.53,yes
Helsinki,Finland,-6.54,yes
Falun,Sweden,-6.55,yes
Deva,Romania,-6.57,yes
Debrecen,Hungary,-6.58,yes
Zakopane,Poland,-6.72,yes
Sandefjord,Norway,-6.72,yes
Tver,Russia,-6.9,yes
Stary Oskol,Russia,-6.9,yes
Pori,Finland,-6.95,yes
Turku,Finland,-6.95,yes
Poltava,Ukraine,-6.97,yes
Ivanovo,Russia,-6.99,yes
Jyväskylä,Finland,-7.11,yes
Petrozavodsk,Russia,-7.11,yes
Białystok,Poland,-7.15,yes
Tampere,Finland,-7.17,yes
Rivne,Ukraine,-7.27,yes
Riga,Latvia,-7.28,yes
Lutsk,Ukraine,-7.31,yes
Hamar,Norway,-7.37,yes
Pärnu,Estonia,-7.41,yes
Sterlitamak,Russia,-7.45,yes
Oslo,Norway,-7.48,yes
Velikiye Luki,Russia,-7.5,yes
Cherkasy,Ukraine,-7.55,yes
Narva,Estonia,-7.62,yes
Joensuu,Finland,-7.66,yes
Viciebsk,Belarus,-7.66,yes
Kuopio,Finland,-7.71,yes
Lahti,Finland,-7.71,yes
Tartu,Estonia,-7.82,yes
Kharkiv,Ukraine,-7.89,yes
Pskov,Russia,-8.01,yes
Yaroslavl,Russia,-8.1,yes
Kostroma,Russia,-8.42,yes
Sumy,Ukraine,-8.51,yes
Saint Petersburg,Russia,-8.56,yes
Östersund,Sweden,-8.67,yes
Veliky Novgorod,Russia,-8.77,yes
Vaasa,Finland,-8.83,yes
Valmiera,Latvia,-9.09,yes
Sharya,Russia,-9.18,yes
Hrodna,Belarus,-9.19,yes
Belgorod,Russia,-9.3,yes
Izhevsk,Russia,-9.55,yes
Bila Tserkva,Ukraine,-9.85,yes
Navapolack,Belarus,-9.86,yes
Alta,Norway,-9.91,yes
Tikhvin,Russia,-10.01,yes
Cherepovets,Russia,-10.08,yes
Kokkola,Finland,-10.13,yes
Smolensk,Russia,-10.14,yes
Umeå,Sweden,-10.2,yes
Apatity,Russia,-10.37,yes
Vilnius,Lithuania,-10.49,yes
Perm,Russia,-10.56,yes
Oryol,Russia,-10.66,yes
Zhytomyr,Ukraine,-10.76,yes
Kaunas,Lithuania,-10.84,yes
Kyiv,Ukraine,-10.94,yes
Arkhangelsk,Russia,-10.94,yes
Mahilyow,Belarus,-10.95,yes
Kajaani,Finland,-11.0,yes
Homel,Belarus,-11.0,yes
Chernihiv,Ukraine,-11.01,yes
Daugavpils,Latvia,-11.05,yes
Kirov,Russia,-11.15,yes
Šiauliai,Lithuania,-11.17,yes
Velsk,Russia,-11.27,yes
Rēzekne,Latvia,-11.3,yes
Utena,Lithuania,-11.39,yes
Vologda,Russia,-11.5,yes
Glazov,Russia,-11.56,yes
Babruysk,Belarus,-11.64,yes
Baranavichy,Belarus,-11.8,yes
Murmansk,Russia,-12.04,yes
Oulu,Finland,-12.11,yes
Salihorsk,Belarus,-12.21,yes
Pinsk,Belarus,-12.31,yes
Mazyr,Belarus,-13.59,yes
Bryansk,Russia,-13.61,yes
Berezniki,Russia,-13.96,yes
Syktyvkar,Russia,-14.07,yes
Kirkenes,Norway,-15.21,yes
Ivalo,Finland,-15.8,yes
Rovaniemi,Finland,-16.29,yes
Kotlas,Russia,-16.6,yes
Luleå,Sweden,-17.66,yes
Storuman,Sweden,-18.97,yes
Ukhta,Russia,-19.75,yes
Kiruna,Sweden,-22.79,yes
Naryan-Mar,Russia,-27.76,yes
Vorkuta,Russia,-29.41,yes
